"Date","LongName","Distributed","Doses Administered","Administered_Dose1_Recip","% total population with at least 1 shot","Administered_Dose1_Recip_12Plus","% population over 12 with at least 1 shot","Administered_Dose1_Recip_18Plus","% of adults with at least 1 shot","Administered_Dose1_Recip_65Plus","% of seniors with at least 1 shot","Series_Complete_Yes","% total population fully vaccinated","Series_Complete_12Plus","% population over 12 fully vaccinated","Series_Complete_18Plus","% of adults fully vaccinated","Series_Complete_65Plus","% of seniors fully vaccinated","Percent.Of.Distributed.Administered","Pct_Distributed_Rank","First_Dose_Rank","Second_Dose_Rank"
2021-12-15,"Iowa",5514975,4445277,2014978,63.9,1963164,73.4,1838960,75.7,538436,95,1836182,58.2,1805349,67.5,1694431,69.8,504380,91.2,80.6,26,36,27
2021-12-15,"Idaho",2859380,1969299,921511,51.6,0,0,917925,68.6,267887,92.2,819220,45.8,0,0,816914,61,245410,84.4,68.9,51,52,52
2021-12-15,"Illinois",22701125,18996806,9011795,71.1,8722997,80.5,8093418,82.1,1941120,95,8046354,63.5,7875521,72.7,7307575,74.2,1772430,86.7,83.7,15,24,20
2021-12-15,"Indiana",10681230,8198469,3832724,56.9,3755730,65.8,3523500,68.2,982655,90.5,3468719,51.5,3431519,60.1,3231093,62.6,927382,85.4,76.8,43,48,44
2021-12-15,"Kansas",4996025,3892995,1976831,67.9,1929348,78.7,1797987,81.2,510281,95,1633463,56.1,1609495,65.6,1499161,67.7,417406,87.8,77.9,37,28,29
2021-12-15,"Kentucky",7347705,5693497,2749213,61.5,2693478,70.8,2535195,73.2,706340,94.1,2390901,53.5,2360111,62,2224457,64.2,631623,84.2,77.5,41,40,38
2021-12-15,"Louisiana",6883940,5444169,2629382,56.6,2602886,66.3,2450649,68.8,662995,89.5,2308354,49.7,2298877,58.6,2175982,61.1,626933,84.6,79.1,32,49,48
2021-12-15,"Massachusetts",14081580,12363451,6088614,88.3,5878594,95,5478534,95,1338132,95,5066318,73.5,4935057,82,4592204,82.9,1080334,92.4,87.8,5,3,6
2021-12-15,"Maryland",12895180,10000259,4760064,78.7,4614849,89.4,4261672,90.5,974596,95,4201037,69.5,4112795,79.7,3800332,80.7,884227,92.2,77.6,40,16,9
2021-12-15,"Maine",2805900,2386694,1130460,84.1,1096220,92.5,1033247,94.3,316067,95,1003456,74.7,981891,82.9,924677,84.4,277293,95,85.1,12,10,4
2021-12-15,"Michigan",17433460,13447493,6236590,62.4,6081135,70.8,5723112,73,1657598,93.9,5591222,56,5503343,64,5183655,66.1,1519307,86.1,77.1,42,37,33
2021-12-15,"Minnesota",10573970,8785061,3971128,70.4,3818357,79.9,3547451,81.8,926033,95,3638530,64.5,3543427,74.2,3289993,75.9,869690,94.5,83.1,16,25,19
2021-12-15,"Missouri",9689985,7834180,3762219,61.3,3680431,70.3,3459067,72.6,988062,93,3211882,52.3,3168220,60.5,2980447,62.5,871547,82.1,80.8,25,41,42
2021-12-15,"Mississippi",4590605,3342478,1636710,55,1620483,64.3,1519795,66.7,432298,88.8,1422417,47.8,1416250,56.2,1333702,58.6,396854,81.5,72.8,49,50,49
2021-12-15,"Montana",1713365,1390359,653154,61.1,637990,69.5,601381,71.6,191409,92.7,567395,53.1,560660,61.1,529769,63.1,173167,83.9,81.1,23,43,39
2021-12-15,"North Carolina",18366030,14263904,7697862,73.4,7538057,83.9,7103238,86.8,2035424,95,5838580,55.7,5755745,64.1,5399363,65.9,1471830,84.1,77.7,39,20,34
2021-12-15,"North Dakota",1185880,982970,466724,61.2,455280,71.4,430140,73.9,118806,95,394412,51.8,388867,61,367506,63.2,100962,84.2,82.9,18,42,43
2021-12-15,"Nebraska",3315520,2755242,1265629,65.4,1228209,75.9,1140613,78.2,300591,95,1142015,59,1120480,69.3,1042243,71.5,281605,90.1,83.1,16,33,26
2021-12-15,"New Hampshire",2824360,2272295,1271339,93.5,1246034,95,1183161,95,387723,95,900045,66.2,889567,74.2,837469,75.8,233574,92,80.5,27,1,14
2021-12-15,"New Jersey",17970205,14298992,7242388,81.5,7066400,92.8,6567104,94.6,1543771,95,6175861,69.5,6078994,79.8,5644058,81.3,1321247,89.5,79.6,31,12,9
2021-12-15,"New Mexico",3776575,3311462,1654855,78.9,1609982,90.1,1488737,91.8,403200,95,1368664,65.3,1346818,75.3,1244746,76.8,342066,90.6,87.7,6,15,16
2021-12-15,"Nevada",4932560,4154011,2095934,68,2066472,78.8,1931957,80.9,476395,95,1714555,55.7,1700243,64.9,1597139,66.9,401175,80.9,84.2,14,27,34
2021-12-15,"New York",37612645,32551013,15833415,81.4,15460599,92.2,14467330,93.8,3332201,95,13743947,70.7,13541361,80.7,12663889,82.1,2911001,88.3,86.5,8,13,8
2021-12-15,"Ohio",19118695,15260191,6966437,59.6,6800613,68,6399641,70.2,1855407,90.7,6371961,54.5,6272250,62.7,5913733,64.9,1756076,85.8,79.8,30,45,37
2021-12-15,"Oklahoma",6187080,5119102,2555097,64.6,2514644,75.6,2358936,78.5,650592,95,2085687,52.7,2065380,62.1,1935556,64.4,533974,84.1,82.7,19,34,40
2021-12-15,"Oregon",8326475,6561512,3074088,72.9,2984797,81.8,2790672,83.3,735296,95,2768608,65.6,2715858,74.5,2541489,75.8,681060,88.9,78.8,34,23,15
2021-12-15,"Pennsylvania",24795615,19368852,10789299,84.3,10563282,95,9987158,95,3089032,95,7740891,60.5,7612132,68.7,7176699,70.6,2062342,86.2,78.1,36,9,25
2021-12-15,"Puerto Rico",6230690,5663004,2777241,87,2699188,94.8,2488480,94.9,664021,95,2413652,75.6,2383545,83.7,2198882,83.9,580541,85.4,90.9,1,5,2
2021-12-15,"Rhode Island",2162695,1858004,912694,86.2,885016,95,826816,95,206265,95,796456,75.2,778047,83.9,725973,84.9,182333,95,85.9,9,7,3
2021-12-15,"South Carolina",8687875,6482500,3173717,61.6,3124094,70.7,2948989,73,919681,95,2700029,52.4,2674661,60.5,2526489,62.6,794167,84.8,74.6,46,39,41
2021-12-15,"South Dakota",1561065,1215722,612707,69.3,597343,80.9,558182,83.6,168399,95,496608,56.1,488764,66.2,458927,68.7,138541,91.2,77.9,37,26,29
2021-12-15,"Tennessee",10673460,8564176,3952094,57.9,3890467,66.7,3678867,69.2,1025597,89.7,3450638,50.5,3421910,58.6,3245987,61,939320,82.2,80.2,28,46,45
2021-12-15,"Texas",51087345,39092205,19005377,65.5,18553768,77,16970166,78.6,3492968,93.5,16274516,56.1,16057264,66.6,14777301,68.4,3129801,83.8,76.5,44,32,29
2021-12-15,"Utah",5259900,4323177,2120941,66.2,2046451,78.9,1851731,81.4,364446,95,1841061,57.4,1810456,69.8,1642628,72.2,328238,89.7,82.2,21,30,28
2021-12-15,"Virginia",16411695,13842098,6607100,77.4,6388973,87.4,5926120,88.8,1392408,95,5716261,67,5583308,76.4,5170487,77.5,1216770,89.5,84.3,13,17,11
2021-12-15,"Vermont",1380300,1194972,546539,87.6,524279,95,489961,95,139123,95,473030,75.8,459951,83.5,429402,84.2,124332,95,86.6,7,4,1
2021-12-15,"Washington",14733545,12016673,5658896,74.3,5494407,84.5,5117521,86,1196509,95,5094770,66.9,4998515,76.9,4658376,78.3,1103866,91.2,81.6,22,19,12
2021-12-15,"Wisconsin",9797375,8727382,3909345,67.1,3801354,76,3557497,78.1,1012562,95,3557802,61.1,3493044,69.9,3277415,71.9,947294,93.1,89.1,3,29,24
2021-12-15,"West Virginia",3454105,3104106,1602974,89.4,1585306,95,1518372,95,553646,95,1279784,71.4,1272899,81.7,1222967,85.4,465010,95,89.9,2,2,7
2021-12-15,"Wyoming",846525,662860,317789,54.9,312402,63.7,295081,66.3,90178,90.9,270496,46.7,268017,54.6,253961,57.1,80941,81.6,78.3,35,51,51
